atc_code,atc_name,code_length,parent_code,level,length_validation,atc_level1,atc_level2,atc_level3,atc_level4
A10BA01,phenformin,7,A10BA,5,TRUE,A,A10,A10B,A10BA
A10BA02,metformin,7,A10BA,5,TRUE,A,A10,A10B,A10BA
A10BA03,buformin,7,A10BA,5,TRUE,A,A10,A10B,A10BA
A10BB01,glibenclamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB02,chlorpropamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB03,tolbutamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB04,glibornuride,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB05,tolazamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB06,carbutamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB07,glipizide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB08,gliquidone,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB09,gliclazide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB10,metahexamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB11,glisoxepide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB12,glimepiride,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BB31,acetohexamide,7,A10BB,5,TRUE,A,A10,A10B,A10BB
A10BC01,glymidine,7,A10BC,5,TRUE,A,A10,A10B,A10BC
A10BD01,phenformin and sulfonylureas,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD02,metformin and sulfonylureas,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD03,metformin and rosiglitazone,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD04,glimepiride and rosiglitazone,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD05,metformin and pioglitazone,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD06,glimepiride and pioglitazone,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD07,metformin and sitagliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD08,metformin and vildagliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD09,pioglitazone and alogliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD10,metformin and saxagliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD11,metformin and linagliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD12,pioglitazone and sitagliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD13,metformin and alogliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD14,metformin and repaglinide,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD15,metformin and dapagliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD16,metformin and canagliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD17,metformin and acarbose,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD18,metformin and gemigliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD19,linagliptin and empagliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD20,metformin and empagliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD21,saxagliptin and dapagliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD22,metformin and evogliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD23,metformin and ertugliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD24,sitagliptin and ertugliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD25,"metformin, saxagliptin and dapagliflozin",7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD26,metformin and lobeglitazone,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD27,"metformin, linagliptin and empagliflozin",7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD28,metformin and teneligliptin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BD29,sitagliptin and dapagliflozin,7,A10BD,5,TRUE,A,A10,A10B,A10BD
A10BF01,acarbose,7,A10BF,5,TRUE,A,A10,A10B,A10BF
A10BF02,miglitol,7,A10BF,5,TRUE,A,A10,A10B,A10BF
A10BF03,voglibose,7,A10BF,5,TRUE,A,A10,A10B,A10BF
A10BG01,troglitazone,7,A10BG,5,TRUE,A,A10,A10B,A10BG
A10BG02,rosiglitazone,7,A10BG,5,TRUE,A,A10,A10B,A10BG
A10BG03,pioglitazone,7,A10BG,5,TRUE,A,A10,A10B,A10BG
A10BG04,lobeglitazone,7,A10BG,5,TRUE,A,A10,A10B,A10BG
A10BH01,sitagliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH02,vildagliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH03,saxagliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH04,alogliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH05,linagliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH06,gemigliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH07,evogliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH08,teneligliptin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH51,sitagliptin and simvastatin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BH52,gemigliptin and rosuvastatin,7,A10BH,5,TRUE,A,A10,A10B,A10BH
A10BJ01,exenatide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BJ02,liraglutide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BJ03,lixisenatide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BJ04,albiglutide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BJ05,dulaglutide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BJ06,semaglutide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BJ07,beinaglutide,7,A10BJ,5,TRUE,A,A10,A10B,A10BJ
A10BK01,dapagliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK02,canagliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK03,empagliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK04,ertugliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK05,ipragliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK06,sotagliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK07,luseogliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BK08,bexagliflozin,7,A10BK,5,TRUE,A,A10,A10B,A10BK
A10BX01,guar gum,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX02,repaglinide,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX03,nateglinide,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX05,pramlintide,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX06,benfluorex,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX08,mitiglinide,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX15,imeglimin,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX16,tirzepatide,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX17,carfloglitazar,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10BX18,dorzagliatin,7,A10BX,5,TRUE,A,A10,A10B,A10BX
A10AB01,insulin (human),7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AB02,insulin (beef),7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AB03,insulin (pork),7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AB04,insulin lispro,7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AB05,insulin aspart,7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AB06,insulin glulisine,7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AB30,combinations,7,A10AB,5,TRUE,A,A10,A10A,A10AB
A10AC01,insulin (human),7,A10AC,5,TRUE,A,A10,A10A,A10AC
A10AC02,insulin (beef),7,A10AC,5,TRUE,A,A10,A10A,A10AC
A10AC03,insulin (pork),7,A10AC,5,TRUE,A,A10,A10A,A10AC
