Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"5-FLUOROURACIL SANDOZ  50 mg/ml koncentrátum oldatos infúzióhoz;""1 X 100 ml injekciós üvegben"";""OGYI-T-07514/10"";""fluorouracil"";""Sandoz Hungária Kft."";""L01BC02"";""2022-04-22 00:00:00"";""2025-12-21 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"5-FLUOROURACIL SANDOZ  50 mg/ml koncentrátum oldatos infúzióhoz;""1 X 20 ml injekciós üvegben"";""OGYI-T-07514/09"";""fluorouracil"";""Sandoz Hungária Kft."";""L01BC02"";""2022-04-21 00:00:00"";""2025-12-21 00:00:00"";""Piaci megfontolások"";""Egyedi import"";"
"ABELCET LIPID KOMPLEX 5 mg/ml koncentrátum diszperziós infúzióhoz;""10 X 20 ml injekciós üvegben"";""OGYI-T-06918/01"";""amphotericin B"";""Teva Gyógyszergyár Zrt."";""J02AA01"";""2022-02-09 00:00:00"";"""";""Hatóanyag"
"ABIRATERONE QILU 250 mg tabletta;""120 X   - HDPE tartályban"";""OGYI-T-24062/01"";""abiraterone acetate "";""Qilu Pharma Spain S.L."";""L02BX03"";""2024-11-19 00:00:00"";""2025-12-31 00:00:00"";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"ABIRATERONE SANDOZ  500 mg filmtabletta;""56 X   - buborékcsomagolásban"";""OGYI-T-23883/02"";""abiraterone acetate "";""Sandoz Hungária Kft."";""L02BX03"";""2024-05-31 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ACC 20 mg/ml belsõleges oldat;""1 X 200 ml üvegben"";""OGYI-T-02021/15"";""acetylcysteine"";""Sandoz Hungária Kft."";""R05CB01"";""2018-09-04 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ACC LONG 600 mg pezsgõtabletta;""12 X   - tasakban"";""OGYI-T-02021/22"";""acetylcysteine"";""Sandoz Hungária Kft."";""R05CB01"";""2020-09-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ACICLOVIR NORIDEM 250 mg por oldatos infúzióhoz;""5 X   - injekciós üvegben"";""OGYI-T-24171/02"";""aciclovir"";""Noridem Enterprises Ltd"";""J05AB01"";""2024-12-18 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ACICLOVIR ROMPHARM 250 mg por oldatos infúzióhoz;""1 X   - injekciós üvegben"";""OGYI-T-24435/01"";""aciclovir"";""S.C. Rompharm Company S.R.L."";""J05AB01"";""2025-01-22 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ACIDA 20 mg gyomornedv-ellenálló tabletta;""7 X   - buborékcsomagolásban"";""OGYI-T-21209/01"";""pantoprazole"";""Zentiva"
"ACIDWELL 20 mg gyomornedv-ellenálló tabletta;""14 X   - buborékcsomagolásban"";""OGYI-T-21669/03"";""pantoprazole"";""Sandoz Hungária Kft."";""A02BC02"";""2024-07-18 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ACIPHEN kenõcs;""1 X 20 g tubusban"";""OGYI-T-03201/01"";""diethylamin salicylate"";""Wagner-Pharma Kft."";""M02AC19"";""2023-12-14 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ACIPHEN kenõcs;""1 X 50 g tubusban"";""OGYI-T-03201/02"";""diethylamin salicylate"";""Wagner-Pharma Kft."";""M02AC19"";""2024-05-24 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ACLOTIN 250 mg filmtabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-09235/01"";""ticlopidine"";""Bausch Health Ireland Ltd."";""B01AC05"";""2013-05-20 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ACTIVAL EXTRA MAGNÉZIUM filmtabletta;""30 X   - HDPE tartályban"";""OGYI-T-23230/01"";""vitamins;minerals"";""BÉRES Gyógyszergyár Zrt."";""A11AA03"";""2021-01-01 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"ACTIVAL EXTRA filmtabletta;""90x+30 X   - HDPE tartályban"";""OGYI-T-09416/07"";""vitamins;minerals"";""BÉRES Gyógyszergyár Zrt."";""A11AA03"";""2019-09-19 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ACTIVAL SENIOR filmtabletta;""60 X   - HDPE tartályban"";""OGYI-T-09417/02"";""vitamins;minerals"";""BÉRES Gyógyszergyár Zrt."";""A11AA03"";""2019-09-19 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"ACTONEL 35 mg filmtabletta;""4 X   - átlátszó buborékcsomagolásban"";""OGYI-T-08738/01"";""risedronic acid"";""Theramex Ireland Ltd."";""M05BA07"";""2014-04-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ADACEL szuszpenziós injekció elõretöltött fecskendõben;""1 X   - elõretöltött fecskendõben"";""OGYI-T-21194/04"";""Pertussis Vaccine (Acellular"
"ADIMET XR 1000 mg retard tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-23485/06"";""metformin hydrochloride"";""Teva B.V."";""A10BA02"";""2025-10-21 00:00:00"";""2025-12-15 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ADVANTAN 1 mg/ml külsõleges oldat;""1 X 20 ml tartályban"";""OGYI-T-20448/01"";""methylprednisolone aceponate"";""Leo Pharma A/S"";""D07AC14"";""2024-12-17 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"ADVANTAN 1 mg/ml külsõleges oldat;""1 X 50 ml tartályban"";""OGYI-T-20448/02"";""methylprednisolone aceponate"";""Leo Pharma A/S"";""D07AC14"";""2024-12-17 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"AFRIN 0,5 mg/ml oldatos orrspray;""1 X 20 ml HDPE tartályban"";""OGYI-T-01733/02"";""oxymetazoline"";""Bayer Hungária Kft."";""R01AA05"";""2023-04-20 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"AFRIN 0,5 mg/ml oldatos orrspray;""1 X 20 ml mûanyag tartályban"";""OGYI-T-01733/01"";""oxymetazoline"";""Bayer Hungária Kft."";""R01AA05"";""2023-04-20 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"AGLANDIN 0,5 mg/0,4 mg kemény kapszula;""90 X   - HDPE tartályban"";""OGYI-T-23600/02"";""dutasteride;tamsulosin hydrochloride"";""G.L. Pharma GmbH"";""G04CA52"";""2025-09-25 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"AGOMELATIN TEVA 25 mg filmtabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-23393/01"";""agomelatine"";""Teva B.V."";""N06AX22"";""2025-10-14 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"AGOMELATIN TEVA 25 mg filmtabletta;""56 X   - buborékcsomagolásban"";""OGYI-T-23393/02"";""agomelatine"";""Teva B.V."";""N06AX22"";""2025-08-12 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"AKLIEF 50 mikrogramm/g krém;""1 X 75 g többadagos tartályban"";""OGYI-T-23978/04"";""trifarotene"";""Galderma International"";""D10AD06"";""2025-01-01 00:00:00"";""2025-12-31 00:00:00"";""Szállítási vagy raktározási gondok"";""Egyedi import"";"
"ALBUMON 30 mg készlet radioaktív gyógyszerkészítményhez;""6 X   - injekciós üvegben"";""OGYI-T-23147/01"";""human albumin solution"";""Medi-Radiopharma Kft."";""V09GA04"";""2022-08-09 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"ALBUNORM 200 g/l oldatos infúzió;""1 X 50 ml infúziós üvegben"";""OGYI-T-21416/09"";""human albumin solution"";""Octapharma (IP) SPRL"";""B05AA01"";""2025-03-11 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"ALBUREX  50 g/l oldatos infúzió;""1 X 100 ml palackban"";""OGYI-T-21272/01"";""human albumin solution"";""CSL Behring GmbH"";""B05AA01"";""2021-10-27 00:00:00"";"""";""Hatóanyag"
"ALBUREX  50 g/l oldatos infúzió;""1 X 250 ml palackban"";""OGYI-T-21272/02"";""human albumin solution"";""CSL Behring GmbH"";""B05AA01"";""2021-10-27 00:00:00"";"""";""Hatóanyag"
"ALEVE filmtabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-08021/03"";""naproxen"";""Bayer Hungária Kft."";""M01AE02"";""2013-10-01 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALEVE filmtabletta;""7 X   - buborékcsomagolásban"";""OGYI-T-08021/02"";""naproxen"";""Bayer Hungária Kft."";""M01AE02"";""2013-10-01 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALEXAN 20 mg/ml oldatos injekció vagy infúzió;""10 X 5 ml injekciós üvegben"";""OGYI-T-01176/01"";""cytarabine"";""Sandoz Hungária Kft."";""L01BC01"";""2025-08-13 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"ALFUZOSIN SANDOZ SR 5 mg retard tabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-20227/02"";""alfuzosin"";""Sandoz Hungária Kft."";""G04CA01"";""2023-11-29 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"ALGOFLEX BABY 20 mg/ml belsõleges szuszpenzió;""1 X 100 ml üvegben"";""OGYI-T-08933/08"";""ibuprofen"";""Opella Healthcare Commercial Kft."";""M01AE01"";""2025-07-02 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ALGOFLEX Izom+Ízület 300 mg retard kemény kapszula;""10 X   - buborékcsomagolásban"";""OGYI-T-07101/05"";""ibuprofen"";""Opella Healthcare Commercial Kft."";""M01AE01"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALGOFLEX RAPID 400 mg lágy kapszula;""10 X   - buborékcsomagolásban"";""OGYI-T-21112/05"";""ibuprofen"";""Opella Healthcare Commercial Kft."";""M01AE01"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALGOFLEX RAPID MINI 200 mg lágy kapszula;""24 X   - buborékcsomagolásban"";""OGYI-T-21112/04"";""ibuprofen"";""Opella Healthcare Commercial Kft."";""M01AE01"";""2017-06-15 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ALGOFLEX ULTRA FORTE 600 mg filmtabletta;""10 X   - buborékcsomagolásban"";""OGYI-T-08933/01"";""ibuprofen"";""Opella Healthcare Commercial Kft."";""M01AE01"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALGOFLEX ULTRA FORTE 600 mg filmtabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-08933/02"";""ibuprofen"";""Opella Healthcare Commercial Kft."";""M01AE01"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALGOPYRIN 1 g/2 ml oldatos injekció;""25 X 2 ml OPC ampullában"";""OGYI-T-07845/04"";""metamizole sodium monohydrate"";""Opella Healthcare Commercial Kft."";""N02BB02"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALGOPYRIN 500 mg tabletta;""10 X   - buborékcsomagolásban"";""OGYI-T-07845/01"";""metamizole sodium monohydrate"";""Opella Healthcare Commercial Kft."";""N02BB02"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ALGOPYRIN 500 mg tabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-07845/02"";""metamizole sodium monohydrate"";""Opella Healthcare Commercial Kft."";""N02BB02"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ALGOPYRIN 500 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-07845/05"";""metamizole sodium monohydrate"";""Opella Healthcare Commercial Kft."";""N02BB02"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ALKA-SELTZER 324 mg pezsgõtabletta;""10 X   - fóliacsík"";""OGYI-T-08081/01"";""acetylsalicylic acid"";""Bayer Hungária Kft."";""N02BA01"";""2013-12-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ALKALIGEN oldatos infúzió;""1 X 400  ml üvegpalackban"";""OGYI-T-03516/01"";""sodium hydrogen carbonate"";""Teva Gyógyszergyár Zrt."";""B05BB01"";""2015-12-03 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Kontingens"";"
